name,title,rating,budget_dinner,budget_lunch
Ginza Kandagawa,"築地市場 / 饅魚, 日本料理, 鱉",3.45,"JPY 8,000～JPY 9,999","JPY 2,000～JPY 2,999"
Okinawa Dainingu Ryuuka,"上野御徒町 / 日式小酒館, 沖繩料理, 餐飲酒館",3.21,"JPY 3,000～JPY 3,999","JPY 1,000～JPY 1,999"
Chaini Zu Kafee Ito,"赤坂見附 / 中國菜, 飲茶・點心, 日式小酒館",3.38,"JPY 2,000～JPY 2,999",～JPY 999
EN-LAVIDA,"自由丘 / 墨西哥料理, 西班牙酒吧, 西班牙料理",3.41,"JPY 4,000～JPY 4,999",-
Awa Yoshida,"麻布十番 / 日本料理, 日式小酒館, 日本酒",3.34,"JPY 8,000～JPY 9,999","JPY 3,000～JPY 3,999"
Bakushuan,"惠比壽 / 日式小酒館, 牡蠣, 日本酒",3.50,"JPY 8,000～JPY 9,999","JPY 8,000～JPY 9,999"
Shintoukyou Yakiniku Asobigokoro,"濱町 / 燒肉, 烤內臟, 牛排",3.50,"JPY 8,000～JPY 9,999","JPY 1,000～JPY 1,999"
Miyayoshi,"河邊 / 燒肉, 烤內臟, 日式小酒館",3.22,"JPY 2,000～JPY 2,999","JPY 1,000～JPY 1,999"
Beef by KOH,廣尾 / 燒肉,3.32,"JPY 8,000～JPY 9,999","JPY 2,000～JPY 2,999"
Yakiniku Jiinosento Kaberi,"大手町 / 燒肉, 日本料理, 創作料理",3.47,"JPY 8,000～JPY 9,999","JPY 2,000～JPY 2,999"
Sobagami,"日比谷 / 蕎麥麵, 日本料理, 海鮮",3.48,"JPY 8,000～JPY 9,999","JPY 3,000～JPY 3,999"
Kushiyakidokoro Wa,"飯田橋 / 烤雞雜串, 日式小酒館, 便當",3.28,"JPY 3,000～JPY 3,999","JPY 1,000～JPY 1,999"
Tempura Ginza Onodera,"東銀座 / 天婦羅, 日本料理",3.26,"JPY 20,000～JPY 29,999","JPY 6,000～JPY 7,999"
Sumibiyakiniku Emon,"麴町 / 燒肉, 日式小酒館",3.19,"JPY 5,000～JPY 5,999",～JPY 999
Akanezaka Oonuma,"赤坂 / 日本料理, 日本酒",3.81,"JPY 20,000～JPY 29,999","JPY 10,000～JPY 14,999"
Mae Ping,"門前仲町 / 泰式料理, 咖喱, 亞洲・異國料理",3.40,"JPY 2,000～JPY 2,999",～JPY 999
Teuchi Soba Sobashiki,"永田町 / 蕎麥麵, 天婦羅, 日式小酒館",3.41,"JPY 2,000～JPY 2,999","JPY 5,000～JPY 5,999"
Totsuki Tooka,"梅丘 / 創作料理, 海鮮",3.25,"JPY 4,000～JPY 4,999",-
Asaki,"中野 / 烤雞串, 日式小酒館, 雞肉料理",3.16,"JPY 5,000～JPY 5,999",-
Niku Dainingu Shinta,"荻窪 / 日式小酒館, 涮涮鍋, 烤內臟",3.10,"JPY 3,000～JPY 3,999",-
Kandashimpachi,"神田 / 日式小酒館, 海鮮, 日本酒",3.49,"JPY 8,000～JPY 9,999","JPY 1,000～JPY 1,999"
Puranetariumu Ba,"白金台 / 酒吧, 咖啡店, 甜點",3.39,"JPY 2,000～JPY 2,999",-
Koube Gyuu Sumibiyakiniku Ikuta,"代代木 / 燒肉, 肉類料理, 牛排",3.42,"JPY 10,000～JPY 14,999","JPY 1,000～JPY 1,999"
Chuu Ka Ryouri Chimmi Rou,"糀谷 / 中國菜, 餃子, 火鍋",3.31,"JPY 2,000～JPY 2,999",～JPY 999
Hata Hata,"八幡山 / 日式小酒館, 海鮮, 壽司",3.08,"JPY 3,000～JPY 3,999",-
Kin No Kura,"池袋 / 日式小酒館, 烤雞串, 壽司",3.03,"JPY 2,000～JPY 2,999",-
ALLO,"二子玉川 / 法式小酒館, 法式, 咖啡店",3.43,"JPY 5,000～JPY 5,999","JPY 1,000～JPY 1,999"
Motsunabe Yamashou,"神樂坂 / 大腸火鍋, 日式小酒館, 郷土料理",3.47,"JPY 5,000～JPY 5,999",-
Go-Rudo Kan,"新宿西口 / 大阪燒, 文字燒, 日式小酒館",3.01,"JPY 1,000～JPY 1,999",-
BISTRO CRESTA,"麻布十番 / 法式小酒館, 牛排, 西班牙料理",3.43,"JPY 5,000～JPY 5,999","JPY 1,000～JPY 1,999"
Kamenohe,"龜戶 / 日式小酒館, 西班牙酒吧, 義式",3.20,"JPY 3,000～JPY 3,999",～JPY 999
DualY,"茅場町 / 義式, 餐飲酒館, 西班牙酒吧",3.15,-,"JPY 1,000～JPY 1,999"
Kankoku Gohan Shuka Daidai,"澀谷 / 韓國料理, 日式小酒館, 亞洲・異國料理",3.25,"JPY 2,000～JPY 2,999","JPY 1,000～JPY 1,999"
Hakata Tsurufuku,"武藏小山 / 日式小酒館, 餃子, 大腸火鍋",3.07,"JPY 3,000～JPY 3,999",-
Yakitori Izakaya Toritoushi,"西武新宿 / 日式小酒館, 烤雞串, 串燒",3.02,"JPY 3,000～JPY 3,999",-
Belts,"白金高輪 / 美式料理, 蔬菜料理, 湯",3.02,"JPY 3,000～JPY 3,999","JPY 1,000～JPY 1,999"
Calore,"門前仲町 / 義式, 洋酒吧",3.41,"JPY 6,000～JPY 7,999",-
Sushi Oishi,濱松町 / 壽司,3.10,"JPY 10,000～JPY 14,999",-
Hirokiya Roppongi,"六本木 / 燒肉, 烤內臟",3.57,"JPY 8,000～JPY 9,999","JPY 1,000～JPY 1,999"
Sutamina Yakiniku Iki,"中野 / 燒肉, 烤內臟, 日式小酒館",3.06,"JPY 5,000～JPY 5,999",-
Okonomiyaki Noro,"赤坂 / 大阪燒, 鐵板燒, 日式小酒館",3.12,"JPY 4,000～JPY 4,999",～JPY 999
Okinawa Dainingu Ryuuka,"六本木 / 日式小酒館, 沖繩料理, 餐飲酒館",3.21,"JPY 3,000～JPY 3,999",-
Koumoto,"廣尾 / 日本料理, 蕎麥麵, 天婦羅",3.35,"JPY 10,000～JPY 14,999","JPY 3,000～JPY 3,999"
Minoya,"新御徒町 / 日本料理, 蔬菜料理",3.65,"JPY 8,000～JPY 9,999","JPY 5,000～JPY 5,999"
Yotsuya Kurumiya,"四谷 / 日式小酒館, 海鮮, 咖喱",3.41,"JPY 3,000～JPY 3,999",～JPY 999
CUCINA ITALIANA ARIA,"六本木 / 義式, 義大利麵, 西式料理",3.54,"JPY 5,000～JPY 5,999","JPY 1,000～JPY 1,999"
ESOLA,"代代木上原 / 西班牙酒吧, 義式, 洋酒吧",3.08,"JPY 3,000～JPY 3,999","JPY 1,000～JPY 1,999"
El chiringuito,"市谷 / 西班牙料理, 洋酒吧, 法式小酒館",3.31,"JPY 6,000～JPY 7,999",～JPY 999
Cusa Villa,"廣尾 / 義式, 天然食品, 創新高級料理",3.75,"JPY 10,000～JPY 14,999","JPY 8,000～JPY 9,999"
